sentence,labels
A gh0st RAT variant has used DLL side-loading.,['T1574.002']
A gh0st RAT variant has used rundll32 for execution.,['T1218.011']
"A keylogging tool used by APT3 gathers network information from the victim, including the MAC address, IP address, WINS, DHCP server, and gateway.",['T1016']
A menuPass macro deletes files after it has decoded and decompressed them.,['T1070.004']
A module in CozyCar allows arbitrary commands to be executed by invoking C:\Windows\System32\cmd.exe.,['T1059.003']
"A module in Prikormka collects information about the paths, size, and creation time of files with specific file extensions, but not the actual content of the file.",['T1083']
"A module in Prikormka collects information from the victim about Windows OS version, computer name, battery info, and physical memory.",['T1082']
A module in Prikormka collects information from the victim about installed anti-virus software.,['T1518.001']
A module in Prikormka collects information from the victim about its IP addresses and MAC addresses.,['T1016']
A module in Prikormka collects information from the victim about the current user name.,['T1033']
A system info module in CozyCar gathers information on the victim host’s configuration.,['T1082']
A variant of ADVSTORESHELL encrypts some C2 with 3DES.,['T1573.001']
A variant of Elise executes dir C:\progra~1 when initially run.,['T1083']
"A variant of HOPLIGHT hooks lsass.exe, and lsass.exe then checks the Registry for the data value 'rdpproto' under the key SYSTEM\CurrentControlSet\Control\Lsa Name.",['T1012']
A variant of Zebrocy captures screenshots of the victim’s machine in JPEG and BMP format.,['T1113']
A version of KONNI has dropped a Windows shortcut into the Startup folder to establish persistence.,['T1547.001']
"A version of KONNI searches for filenames created with a previous version of the malware, suggesting different versions targeted the same victims and the versions may work together.",['T1083']
A version of XTunnel introduced in July 2015 obfuscated the binary using opaque predicates and other techniques in a likely attempt to obfuscate it and bypass security products.,['T1027']
"AADInternals can gather unsecured credentials for Azure AD services, such as Azure AD Connect, from a local machine.",['T1552.001']
AADInternals can modify registry keys as part of setting a new pass-through authentication agent.,['T1112']
ABK has the ability to decrypt AES encrypted payloads.,['T1140']
ABK has the ability to download files from C2.,['T1105']
ABK has the ability to identify the installed anti-virus product on the compromised host.,['T1518.001']
ABK has the ability to inject shellcode into svchost.exe.,['T1055']
ABK has the ability to use HTTP in communications with C2.,['T1071.001']
ABK has the ability to use cmd to run a Portable Executable (PE) on the compromised host.,['T1059.003']
ADVSTORESHELL achieves persistence by adding itself to the HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Run Registry key.,['T1547.001']
ADVSTORESHELL can create a remote shell and run a given command.,['T1059.003']
ADVSTORESHELL can delete files and directories.,['T1070.004']
ADVSTORESHELL can enumerate registry keys.,['T1012']
ADVSTORESHELL can list files and directories.,['T1083']
ADVSTORESHELL can list running processes.,['T1057']
ADVSTORESHELL can perform keylogging.,['T1056.001']
ADVSTORESHELL can run Systeminfo to gather information about the victim.,['T1082']
ADVSTORESHELL connects to port 80 of a C2 server using Wininet API. Data is exchanged via HTTP POSTs.,['T1071.001']
ADVSTORESHELL exfiltrates data over the same channel used for C2.,['T1041']
ADVSTORESHELL has used rundll32.exe in a Registry value to establish persistence.,['T1218.011']
ADVSTORESHELL is capable of setting and deleting Registry values.,['T1112']
ADVSTORESHELL is capable of starting a process using CreateProcess.,['T1106']
ADVSTORESHELL stores output from command execution in a .dat file in the %TEMP% directory.,['T1074.001']
ANDROMEDA can download additional payloads from C2.,['T1105']
ANDROMEDA can establish persistence by dropping a sample of itself to C:\ProgramData\Local Settings\Temp\mskmde.com and adding a Registry run key to execute every time a user logs on.,['T1547.001']
ANDROMEDA can inject into the wuauclt.exe process to perform C2 actions.,['T1055']
ANDROMEDA has been installed to C:\Temp\TrustedInstaller.exe to mimic a legitimate Windows installer service.,['T1036.005']
ANDROMEDA has the ability to make GET requests to download files from C2.,['T1071.001']
APT-C-36 has downloaded binary data from a specified domain after the malicious document is opened.,['T1105']
APT-C-36 has prompted victims to accept macros in order to execute the subsequent payload.,['T1204.002']
"APT-C-36 has used ConfuserEx to obfuscate its variant of Imminent Monitor, compressed payload and RAT packages, and password protected encrypted email attachments to avoid detection.",['T1027']
"APT-C-36 has used a macro function to set scheduled tasks, disguised as those used by Google.",['T1053.005']
APT-C-36 has used spearphishing emails with password protected RAR attachment to avoid being detected by the email gateway.,['T1566.001']
APT1 gathered a list of running processes on the system using tasklist /v.,['T1057']
APT1 has been known to use credential dumping using Mimikatz.,['T1003.001']
APT1 has collected files from a local victim.,['T1005']
APT1 has sent spearphishing emails containing malicious attachments.,['T1566.001']
"APT1 has used the Windows command shell to execute commands, and batch scripting to automate execution.",['T1059.003']
APT1 used the ipconfig /all command to gather network configuration information.,['T1016']
APT12 has attempted to get victims to open malicious Microsoft Word and PDF attachment sent via spearphishing.,['T1204.002']
APT12 has sent emails with malicious Microsoft Office documents and PDFs attached.,['T1566.001']
"APT12 has used RIPTIDE, a RAT that uses HTTP to communicate.",['T1071.001']
"APT12 has used the RIPTIDE RAT, which communicates over HTTP with a payload encrypted with RC4.",['T1573.001']
APT18 actors deleted tools and batch files from victim systems.,['T1070.004']
APT18 actors leverage legitimate credentials to log into external remote services.,['T1078']
APT18 can collect system information from the victim’s machine.,['T1082']
APT18 can list files information for specific directories.,['T1083']
APT18 can upload a file to the victim’s machine.,['T1105']
APT18 establishes persistence via the HKCU\Software\Microsoft\Windows\CurrentVersion\Run key.,['T1547.001']
APT18 uses HTTP for C2 communications.,['T1071.001']
APT18 uses cmd.exe to execute commands on the victim’s machine.,['T1059.003']
APT19 attempted to get users to launch malicious attachments delivered via spearphishing emails.,['T1204.002']
APT19 collected system architecture information. APT19 used an HTTP malware variant and a Port 22 malware variant to gather the hostname and CPU information from the victim’s machine.,['T1082']
APT19 configured its payload to inject into the rundll32.exe.,['T1218.011']
APT19 launched an HTTP malware variant and a Port 22 malware variant using a legitimate executable that loaded the malicious DLL.,['T1574.002']
APT19 sent spearphishing emails with malicious attachments in RTF and XLSM formats to deliver initial exploits.,['T1566.001']
APT19 used HTTP for C2 communications. APT19 also used an HTTP malware variant to communicate over HTTP for C2.,['T1071.001']
APT19 used an HTTP malware variant and a Port 22 malware variant to collect the MAC address and IP address from the victim’s machine.,['T1016']
APT19 used an HTTP malware variant and a Port 22 malware variant to collect the victim’s username.,['T1033']
APT19 uses a Port 22 malware variant to modify several Registry keys.,['T1112']
APT28 attempted to get users to click on Microsoft Office attachments containing malicious macro scripts.,['T1204.002']
APT28 can perform brute force attacks to obtain credentials.,['T1110']
APT28 executed CHOPSTICK by using rundll32 commands such as rundll32.exe “C:\Windows\twain_64.dll”. APT28 also executed a .dll for a first stage dropper using rundll32.exe. An APT28 loader Trojan saved a batch script that uses rundll32 to execute a DLL payload.,['T1218.011']
APT28 exploited a Windows SMB Remote Code Execution Vulnerability to conduct lateral movement.,['T1210']
"APT28 has changed extensions on files containing exfiltrated data to make them appear benign, and renamed a web shell instance to appear as a legitimate OWA page.",['T1036.005']
APT28 has deployed malware that has copied itself to the startup directory for persistence.,['T1547.001']
"APT28 has downloaded additional files, including by using a first-stage downloader to contact the C2 server to obtain the second-stage implant.",['T1105']
"APT28 has exploited CVE-2014-4076, CVE-2015-2387, CVE-2015-1701, CVE-2017-0263 to escalate privileges.",['T1068']
"APT28 has intentionally deleted computer files to cover their tracks, including with use of the program CCleaner.",['T1070.004']
"APT28 has retrieved internal documents from machines inside victim environments, including by using Forfiles to stage documents before exfiltration.",['T1005']
APT28 has saved files with hidden file attributes.,['T1564.001']
APT28 has stored captured credential information in a file named pi.log.,['T1074.001']
"APT28 has used Forfiles to locate PDF, Excel, and Word documents during collection. The group also searched a compromised DCCC computer for specific terms.",['T1083']
"APT28 has used a variety of public exploits, including CVE 2020-0688 and CVE 2020-17144, to gain execution on vulnerable Microsoft Exchange; they have also conducted SQL injection attacks against external websites.",['T1190']
"APT28 has used legitimate credentials to gain initial access, maintain access, and exfiltrate data from a victim network. The group has specifically used credentials stolen through a spearphishing email to login to the DCCC network. The group has also leveraged default manufacturer's passwords to gain initial access to corporate networks via IoT devices such as a VOIP phone, printer, and video decoder.",['T1078']
APT28 has used tools to perform keylogging.,['T1056.001']
APT28 has used tools to take screenshots from victims.,['T1113']
APT28 installed a Delphi backdoor that used a custom algorithm for C2 communications.,['T1573.001']
APT28 regularly deploys both publicly available (ex: Mimikatz) and custom password retrieval tools on victims.,['T1003.001']
APT28 sent spearphishing emails containing malicious Microsoft Office and RAR attachments.,['T1566.001']
APT29 added Registry Run keys to establish persistence.,['T1547.001']
APT29 has bypassed UAC.,['T1548.002']
APT29 has downloaded additional tools and malware onto compromised networks.,['T1105']
"APT29 has exploited CVE-2019-19781 for Citrix, CVE-2019-11510 for Pulse Secure VPNs, CVE-2018-13379 for FortiGate VPNs, and CVE-2019-9670 in Zimbra software to gain access.",['T1190']
APT29 has exploited CVE-2021-36934 to escalate privileges on a compromised host.,['T1068']
APT29 has renamed malicious DLLs with legitimate names to appear benign; they have also created an Azure AD certificate with a Common Name that matched the display name of the compromised service principal.,['T1036.005']
APT29 has stolen data from compromised hosts.,['T1005']
APT29 has used SDelete to remove artifacts from victim networks.,['T1070.004']
APT29 has used a compromised account to access an organization's VPN infrastructure.,['T1078']
APT29 has used named and hijacked scheduled tasks to establish persistence.,['T1053.005']
APT29 has used spearphishing emails with an attachment to deliver files with exploits to initial victims.,['T1566.001']
"APT29 has used various forms of spearphishing attempting to get a user to open attachments, including, but not limited to, malicious Microsoft Word documents, .pdf, and .lnk files. ",['T1204.002']
APT29 used WMI to steal credentials and execute backdoors at a future time.,['T1047']
APT3 enables the Remote Desktop Protocol for persistence.,['T1021.001']
APT3 has a tool that can copy files to remote machines.,['T1105']
APT3 has a tool that can delete files.,['T1070.004']
APT3 has a tool that can list out currently running processes.,['T1057']
APT3 has a tool that can locate credentials in files on the file system such as those from Firefox or Chrome.,['T1552.001']
APT3 has a tool that can obtain information about the local system.,['T1082']
APT3 has a tool that can run DLLs.,['T1218.011']
APT3 has a tool that creates a new service for persistence.,['T1543.003']
APT3 has a tool that exfiltrates data over the C2 channel.,['T1041']
APT3 has a tool that looks for files and directories on the local file system.,['T1083']
APT3 has been known to side load DLLs with a valid version of Chrome with one of their tools.,['T1574.002']
APT3 has been known to stage files for exfiltration in a single location.,['T1074.001']
APT3 has used a keylogging tool that records keystrokes in encrypted files.,['T1056.001']
"APT3 has used a tool to dump credentials by injecting itself into lsass.exe and triggering with the argument ""dig.""",['T1003.001']
APT3 obfuscates files or information to help evade defensive measures.,['T1027']
APT3 places scripts in the startup folder for persistence.,['T1547.001']
APT3 will identify Microsoft Office documents on the victim's computer.,['T1005']
APT30 has relied on users to execute malicious file attachments delivered via spearphishing emails.,['T1204.002']
APT30 has used spearphishing emails with malicious DOC attachments.,['T1566.001']
APT32 collected the victim's username and executed the whoami command on the victim's machine. APT32 executed shellcode to collect the username on the victim's machine. ,['T1033']
APT32 compromised McAfee ePO to move laterally by distributing malware as a software deployment task.,['T1072']
"APT32 established persistence using Registry Run keys, both to execute PowerShell and VBS scripts as well as to execute their backdoor directly.",['T1547.001']
APT32 has abused the PasswordChangeNotify to monitor for and capture account password changes.,['T1056.001']
APT32 has added JavaScript to victim websites to download additional frameworks that profile and compromise website visitors.,['T1105']
APT32 has attempted to lure users to execute a malicious dropper delivered via a spearphishing attachment.,['T1204.002']
"APT32 has collected the OS version and computer name from victims. One of the group's backdoors can also query the Windows Registry to gather system information, and another macOS backdoor performs a fingerprint of the machine on its first connection to the C&C server. APT32 executed shellcode to identify the name of the infected host.",['T1082']
APT32 has deployed tools after moving laterally using administrative accounts.,['T1570']
APT32 has renamed a NetCat binary to kb-10233.exe to masquerade as a Windows update. APT32 has also renamed a Cobalt Strike beacon payload to install_flashplayers.exe. ,['T1036.005']
APT32 has sent spearphishing emails with a malicious executable disguised as a document or spreadsheet.,['T1566.001']
APT32 has used CVE-2016-7255 to escalate privileges.,['T1068']
APT32 has used JavaScript that communicates over HTTP or HTTPS to attacker controlled domains to download additional frameworks. The group has also used downloaded encrypted payloads over HTTP.,['T1071.001']
APT32 has used cmd.exe for execution.,['T1059.003']
APT32 has used scheduled tasks to persist on victim systems.,['T1053.005']
APT32 malware has injected a Cobalt Strike beacon into Rundll32.exe.,['T1055']
APT32 malware has used rundll32.exe to execute an initial infection process.,['T1218.011']
APT32 modified Windows Services to ensure PowerShell scripts were loaded on the system. APT32 also creates a Windows service to establish persistence.,['T1543.003']
"APT32 ran legitimately-signed executables from Symantec and McAfee which load a malicious DLL. The group also side-loads its backdoor by dropping a library and a legitimate, signed executable (AcroTranscoder).",['T1574.002']
APT32 used Mimikatz and customized versions of Windows Credential Dumper to harvest credentials.,['T1003.001']
APT32 used WMI to deploy their tools on remote machines and to gather information about the Outlook process.,['T1047']
APT32 used the ipconfig /all command to gather the IP address from the system.,['T1016']
APT32's backdoor can query the Windows Registry to gather system information. ,['T1012']
APT32's backdoor has exfiltrated data using the already opened channel with its C&C server.,['T1041']
APT32's backdoor has modified the Windows Registry to store the backdoor's configuration. ,['T1112']
APT32's backdoor has used Windows services as a way to execute its malicious payload. ,['T1569.002']
APT32's backdoor possesses the capability to list files and directories on a machine. ,['T1083']
APT32's macOS backdoor can receive a “delete” command.,['T1070.004']
APT32's macOS backdoor hides the clientID file via a chflags function.,['T1564.001']
APT33 has created a scheduled task to execute a .vbe file multiple times a day.,['T1053.005']
"APT33 has deployed a tool known as DarkComet to the Startup folder of a victim, and used Registry run keys to gain persistence.",['T1547.001']
APT33 has downloaded additional files and programs from its C2 server.,['T1105']
APT33 has sent spearphishing e-mails with archive attachments.,['T1566.001']
APT33 has used AES for encryption of command and control traffic.,['T1573.001']
APT33 has used HTTP for command and control.,['T1071.001']
APT33 has used a publicly available exploit for CVE-2017-0213 to escalate privileges on a local system.,['T1068']
APT33 has used a variety of publicly available tools like LaZagne to gather credentials.,['T1552.001']
"APT33 has used a variety of publicly available tools like LaZagne, Mimikatz, and ProcDump to dump credentials.",['T1003.001']
APT33 has used malicious e-mail attachments to lure victims into executing malware.,['T1204.002']
APT33 has used valid accounts for initial access and privilege escalation.,['T1078']
"APT37 collects the computer name, the BIOS model, and execution path.",['T1082']
APT37 delivers malware using spearphishing emails with malicious HWP attachments.,['T1566.001']
APT37 has a function in the initial dropper to bypass Windows UAC in order to execute the next payload with higher privileges.,['T1548.002']
APT37 has collected data from victims' local systems.,['T1005']
APT37 has created scheduled tasks to run malicious scripts on a compromised host.,['T1053.005']
APT37 has downloaded second stage malware from compromised websites.,['T1105']
APT37 has sent spearphishing attachments attempting to get a user to open them.,['T1204.002']
APT37 has used the command-line interface.,['T1059.003']
APT37 identifies the victim username.,['T1033']
"APT37 injects its malware variant, ROKRAT, into the cmd.exe process.",['T1055']
"APT37 leverages the Windows API calls: VirtualAlloc(), WriteProcessMemory(), and CreateRemoteThread() for process injection.",['T1106']
APT37 obfuscates strings and payloads.,['T1027']
APT37 uses HTTPS to conceal C2 communications.,['T1071.001']
APT37's Freenki malware lists running processes using the Microsoft Windows API.,['T1057']
APT37's has added persistence via the Registry key HKCU\Software\Microsoft\CurrentVersion\Run\.,['T1547.001']
APT38  has attempted to lure victims into enabling malicious macros within email attachments.,['T1204.002']
"APT38 has attempted to get detailed information about a compromised host, including the operating system, version, patches, hotfixes, and service packs.",['T1082']
APT38 has collected data from a compromised host.,['T1005']
APT38 has conducted spearphishing campaigns using malicious email attachments.,['T1566.001']
"APT38 has created new services or modified existing ones to run executables, commands, or scripts.",['T1569.002']
"APT38 has identified primary users, currently logged in users, sets of users that commonly use a system, or inactive users.",['T1033']
"APT38 has identified security software, configurations, defensive tools, and sensors installed on a compromised system.",['T1518.001']
APT38 has installed a new Windows service to establish persistence.,['T1543.003']
APT38 has used Task Scheduler to run programs at system startup or on a scheduled basis for persistence.,['T1053.005']
"APT38 has used a command-line tunneler, NACHOCHEESE, to give them shell access to a victim’s machine.",['T1059.003']
"APT38 has used a utility called CLOSESHAVE that can securely delete a file from the system. They have also removed malware, tools, or other non-native files used during the intrusion to reduce their footprint or as part of the post-intrusion cleanup process.",['T1070.004']
APT38 has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable.,['T1110']
"APT38 has used rundll32.exe to execute binaries, scripts, and Control Panel Item files and to execute code via proxy to avoid triggering security tools.",['T1218.011']
APT38 has used the Windows API to execute code within a victim's system.,['T1106']
"APT38 have enumerated files and directories, or searched in specific locations within a compromised host.",['T1083']
"APT38 leveraged Sysmon to understand the processes, services in the organization.",['T1057']
APT38 used a Trojan called KEYLIME to capture keystrokes from the victim’s machine.,['T1056.001']
"APT38 used a backdoor, NESTEGG, that has the capability to download and upload files to and from a victim’s machine.",['T1105']
"APT38 used a backdoor, QUICKRIDE, to communicate to the C2 server over HTTP and HTTPS.",['T1071.001']
APT38 uses a tool called CLEANTOAD that has the capability to modify Registry keys.,['T1112']
"APT39 has been seen using RDP for lateral movement and persistence, in some cases employing the rdpwinst tool for mangement of multiple sessions.",['T1021.001']
APT39 has created scheduled tasks for persistence.,['T1053.005']
APT39 has downloaded tools to compromised hosts.,['T1105']
APT39 has exfiltrated stolen victim data through C2 communications.,['T1041']
APT39 has maintained persistence using the startup folder.,['T1547.001']
APT39 has sent spearphishing emails in an attempt to lure users to click on a malicious attachment.,['T1204.002']
APT39 has used HTTP in communications with C2.,['T1071.001']
"APT39 has used Mimikatz, Windows Credential Editor and ProcDump to dump credentials.",['T1003.001']
APT39 has used Ncrack to reveal credentials.,['T1110']
APT39 has used SQL injection for initial compromise.,['T1190']
APT39 has used a screen capture utility to take screenshots on a compromised host.,['T1113']
"APT39 has used malware disguised as Mozilla Firefox and a tool named mfevtpse.exe to proxy C2 communications, closely mimicking a legitimate McAfee file mfevtps.exe.",['T1036.005']
APT39 has used malware to decrypt encrypted CAB files.,['T1140']
APT39 has used malware to delete files after they are deployed on a compromised host.,['T1070.004']
APT39 has used post-exploitation tools including RemCom and the Non-sucking Service Manager (NSSM) to execute processes.,['T1569.002']
APT39 has used stolen credentials to compromise Outlook Web Access (OWA).,['T1078']
APT39 has used tools for capturing keystrokes.,['T1056.001']
APT39 has used tools with the ability to search for files on a compromised host.,['T1083']
APT39 has used various strains of malware to query the Registry.,['T1012']
APT39 has used various tools to steal files from the compromised host.,['T1005']
APT39 has utilized tools to aggregate data prior to exfiltration.,['T1074.001']
APT39 leveraged spearphishing emails with malicious attachments to initially compromise victims.,['T1566.001']
APT39 used Remexi to collect usernames from the system.,['T1033']
APT41 attempted to masquerade their files as popular anti-virus software.,['T1036.005']
APT41 collected MAC addresses from victim machines.,['T1016']
APT41 created and modified startup files for persistence.,['T1547.001']
APT41 deleted files from the system.,['T1070.004']
"APT41 exploited CVE-2020-10189 against Zoho ManageEngine Desktop Central through unsafe deserialization, and CVE-2019-19781 to compromise Citrix Application Delivery Controllers (ADC) and gateway devices.",['T1190']
"APT41 has executed file /bin/pwd on exploited victims, perhaps to return architecture related information.",['T1083']
"APT41 has executed whoami commands, including using the WMIEXEC utility to execute this on remote machines.",['T1033']
APT41 has uploaded files and data from a compromised host.,['T1005']
"APT41 has used hashdump, Mimikatz, and the Windows Credential Editor to dump password hashes from memory and authenticate to other user accounts.",['T1003.001']
APT41 has used rundll32.exe to execute a loader.,['T1218.011']
APT41 malware TIDYELF loaded the main WINTERLOVE component by injecting it into the iexplore.exe process.,['T1055']
APT41 modified legitimate Windows services to install malware backdoors.,['T1543.003']
APT41 queried registry values to determine items such as configured RDP ports and network configurations.,['T1012']
APT41 sent spearphishing emails with attachments such as compiled HTML (.chm) files to initially compromise their victims.,['T1566.001']
APT41 used  svchost.exe and Net to execute a system service installed to launch a Cobalt Strike BEACON loader.,['T1569.002']
APT41 used HTTP to download payloads for CVE-2019-19781 and CVE-2020-10189 exploits.,['T1071.001']
APT41 used RDP for lateral movement.,['T1021.001']
APT41 used VMProtected binaries in multiple intrusions.,['T1027']
"APT41 used WMI in several ways, including for execution of commands via WMIEXEC as well as for persistence via PowerSploit.",['T1047']
APT41 used a compromised account to create a scheduled task on a system.,['T1053.005']
APT41 used a keylogger called GEARSHIFT on a target system.,['T1056.001']
APT41 used a malware variant called GOODLUCK to modify the registry in order to steal credentials.,['T1112']
APT41 used a tool called CLASSFON to covertly proxy network communications.,['T1090']
APT41 used certutil to download additional files.,['T1105']
APT41 used cmd.exe /c to execute commands on remote machines.,['T1059.003']
APT41 used compromised credentials to log on to other systems.,['T1078']
APT41 used legitimate executables to perform DLL side-loading of their malware.,['T1574.002']
APT41 uses multiple built-in commands such as systeminfo and net config Workstation to enumerate victim system basic configuration information.,['T1082']
APT41 uses remote shares to move and remotely execute payloads during lateral movemement.,['T1570']
APT5 has deleted scripts and web shells to evade detection.,['T1070.004']
APT5 has exploited vulnerabilities in externally facing software and devices including Pulse Secure VPNs and Citrix Application Delivery Controllers.,['T1190']
APT5 has moved laterally throughout victim environments using RDP.,['T1021.001']
APT5 has named exfiltration archives to mimic Windows Updates at times using filenames with a KB<digits>.zip pattern.,['T1036.005']
APT5 has staged data on compromised systems prior to exfiltration often in C:\Users\Public.,['T1074.001']
APT5 has used Windows-based utilities to carry out tasks including tasklist.exe. ,['T1057']
APT5 has used cmd.exe for execution on compromised systems.,['T1059.003']
APT5 has used malware with keylogging capabilities to monitor the communications of targeted entities.,['T1056.001']
"APT5 has used the BLOODMINE utility to discover files with .css, .jpg, .png, .gif, .ico, .js, and .jsp extensions in Pulse Secure Connect logs.",['T1083']
APT5 has used the CLEANPULSE utility to insert command line strings into a targeted process to alter its functionality.,['T1055']
APT5 has used the Task Manager process to target LSASS process memory in order to obtain NTLM password hashes. APT5 has also dumped clear text passwords and hashes from memory using Mimikatz hosted through an RDP mapped drive.,['T1003.001']
AcidRain identifies specific files and directories in the Linux operating system associated with storage devices.,['T1083']
Action RAT can collect local data from an infected machine.,['T1005']
Action RAT can identify AV products on an infected host using the following command: cmd.exe WMIC /Node:localhost /Namespace:\\root\SecurityCenter2 Path AntiVirusProduct Get displayName /Format:List.,['T1518.001']
Action RAT can use Base64 to decode actor-controlled C2 server communications.,['T1140']
Action RAT can use HTTP to communicate with C2 servers.,['T1071.001']
Action RAT can use WMI to gather AV products installed on an infected host.,['T1047']
Action RAT can use cmd.exe to execute commands on an infected host.,['T1059.003']
Action RAT has the ability to collect drive and file information on an infected machine.,['T1083']
Action RAT has the ability to collect the MAC address of an infected host.,['T1016']
"Action RAT has the ability to collect the hostname, OS version, and OS architecture of an infected host.",['T1082']
Action RAT has the ability to collect the username from an infected host.,['T1033']
Action RAT has the ability to download additional payloads onto an infected machine.,['T1105']
"Action RAT's commands, strings, and domains can be Base64 encoded within the payload.",['T1027']
AdFind can extract subnet information from Active Directory.,['T1016']
"Adversaries can direct BACKSPACE to execute from the command line on infected hosts, or have BACKSPACE create a reverse shell.",['T1059.003']
Adversaries can direct BACKSPACE to upload files to the C2 Server.,['T1041']
Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials (via keylogging or other means). The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.,"['T1053.005', 'T1078']"
"After checking for the existence of two files, keyword_parm.txt and parm.txt, MESSAGETAP XOR decodes and read the contents of the files. ",['T1140']
"After compromising a victim, Poseidon Group lists all running processes.",['T1057']
"After copying itself to a DLL file, a variant of Elise calls the DLL file using rundll32.exe.",['T1218.011']
"After data is collected by Stealth Falcon malware, it is exfiltrated over the existing C2 channel.",['T1041']
"After downloading its main config file, Downdelph downloads multiple payloads from C2 servers.",['T1105']
"After encrypting its own log files, the log encryption module in Prikormka deletes the original, unencrypted files from the host.",['T1070.004']
"After escalating privileges, MegaCortex calls TerminateProcess(), CreateRemoteThread, and other Win32 APIs.",['T1106']
Agent Tesla  has achieved persistence via scheduled tasks.,['T1053.005']
Agent Tesla can achieve persistence by modifying Registry key entries.,['T1112']
Agent Tesla can add itself to the Registry as a startup program to establish persistence.,['T1547.001']
Agent Tesla can capture screenshots of the victim’s desktop.,['T1113']
Agent Tesla can collect the IP address of the victim machine and spawn instances of netsh.exe to enumerate wireless settings.,['T1016']
"Agent Tesla can collect the system's computer name and also has the capability to collect information on the processor, memory, OS, and video card from the system.",['T1082']
Agent Tesla can collect the username from the victim’s machine.,['T1033']
Agent Tesla can download additional files for execution on the victim’s machine.,['T1105']
"Agent Tesla can inject into known, vulnerable binaries on targeted hosts.",['T1055']
Agent Tesla can list the current running processes on the system.,['T1057']
Agent Tesla can log keystrokes on the victim’s machine.,['T1056.001']
Agent Tesla has been executed through malicious e-mail attachments ,['T1204.002']
Agent Tesla has created hidden folders.,['T1564.001']
Agent Tesla has had its code obfuscated in an apparent attempt to make analysis difficult.,['T1027']
Agent Tesla has the ability to decrypt strings encrypted with the Rijndael symmetric encryption algorithm.,['T1140']
